userName,score,at,content
Muhammad lutfi Lutfi,5,2024-09-11 12:53:32,Cukup membantu dalam berbelanja online Trima ksh Bukalapak kita coba ulangi lagi
fendiharjuni harjuni,5,2024-09-11 12:42:39,Mantaff jooooss
Cepi Supriadi,1,2024-09-11 11:56:47,Parah saldo tiba2 ilang 100rb gatau apa2 invoice ny gk bisa di buka
Maharani Ifw,5,2024-09-11 10:28:44,Pelayanan baik sesuai harapan pembeli
yayasantaliasih 2022,1,2024-09-11 10:06:19,Pelayanan buruk. Tidak perlu mempersulit untuk menghapus akun secara permanen. Pelayanan tidak baik sama sekali
maulana akhsan,1,2024-09-11 07:34:46,Jngn pake' aplikasi nih q cek trnyata bnyk data yg d rentas trus diperjual belikan di dark web Hampir saja q jadi korban penipuan Keamanan aja sangat lemah
Barno Devayan,2,2024-09-11 06:31:31,Akun saya sudah tidak aktif ketika saya masuk setelah saya melaporkan tentang ada nya transaksi yg fiktif
Ipan Suryaman,1,2024-09-11 05:12:33,beli karna ada diskon bukan beli untuk dapat diskon
Anto Suhendra,5,2024-09-11 05:04:00,"Tetap Bukalapak paling oke , saya sudah lama menggunakan nya mungkin sekitar 8 tahun lebih"
Win Nartohadi,1,2024-09-11 03:21:56,"Tiba2 saldo kepotong di dana, untuk pembayaran di bukalapak. Saya juga tidak tahu untuk pembayaran apa, karena saya merasa tidak ngorder apa2. Mau chat admin juga gk bisa. Parah"
Kotahe,1,2024-09-11 03:03:34,Tidak dapat jualan sebagai seller baru
Samsul Hidayat,4,2024-09-11 01:05:44,Josss
agus tiono,5,2024-09-11 00:44:02,mantp
andi hing,4,2024-09-11 00:13:09,"aplikasi yang sangat kredibel dan di percaya,kiriman paket sesaui dengan apa yang dipesan oleh pelanggan,terimakasih admin buka lapak 🙏"
Sugi Anto,5,2024-09-10 17:35:08,Good
Star Boy,1,2024-09-10 17:34:10,ini aplikasi yang pihak pembuatan nya kenapa saldo dana saya hilang tunung kblikan
DEDI MULYANA,5,2024-09-10 10:22:27,Terimakasih
Farah Farah,3,2024-09-10 08:02:23,Ka kenapa saya tidak bisa daftar buka lapak ya
I Gede Sanjaya,1,2024-09-10 07:09:36,"cs sulit di hubungi, taiii"
Hermawan 1981,5,2024-09-10 06:09:02,Mantap
Kang Deden,5,2024-09-10 04:56:29,"Terus di kembang kan biar ada Bukalapak affiliate seperti tetangga2 sebelah,"
multikomunika phone,1,2024-09-10 04:14:06,"Bug Menu faporit gak bisa di search untuk cari produk yg sudah di save ,udah bertahun2 gak ada perbaikan ?"
hasiholan,5,2024-09-10 03:44:57,Mantap
wayoek iryana,2,2024-09-10 01:24:22,Woiiiii duit gw nyangkut mau pake layanan live chat kg bisa mulu ud 2 hari.....
Rwin 110125,5,2024-09-10 00:18:05,Oke bgt
ilham cikawung asalasalan,4,2024-09-09 23:49:47,Kren
Pesona Riel,5,2024-09-09 21:50:05,Tolong bantu saya Saldo DANA agar bisa di kembalikan di pembayaran bukalapak
Ms Eko Prasetyo,5,2024-09-09 18:03:11,Ok
꧁} HARD'MAN {꧂,1,2024-09-09 16:26:44,"Saya kaaih bintang 1 dulu dikarnakan pesann saya belum dikirim2 sampe 4 hr.dan gak bisa di batalkan,beebeda dgn aplikasi sblh. Kecewa. Kalau mau ku rubah bintangya,lbh konsisten lg kinerja."
Danial Jalil,5,2024-09-09 13:00:18,Cepat meresponnya
Rizal Nadira Menjawab,5,2024-09-09 12:20:18,Good job
Even Padang,1,2024-09-09 09:51:20,Aplikasi ini telah membobol uang dari dana saya secara otomatis. Uang sejumlah 501.000
Ahmad Rizky Andriawan,4,2024-09-09 09:49:41,kenapa tidak bisa melakukan pencairan saldo mitra ke Saldo Dana lagi ? apa alasannya? kalau pencairan hanya ke rekening dan menggunakan biaya admin akan merugikan pelanggan. tolong berikan solusinya!
Abay Baye,1,2024-09-09 09:27:29,"Saldo dana saya hilang gara"" aplikasi ini. Saya tidak merasa membeli apa apa tiba tiba saldo dana hilang dan ada riwayat transaksi di bukalapak untuk membayar tagihan"
ravie rafi,1,2024-09-09 08:19:02,Pencairan dana lama sekali.
Robin Hanapi,5,2024-09-09 07:12:31,Dapat dipercaya & cepat pengiriman !
Yuli Yanto,1,2024-09-09 06:06:51,Aplikasi Pencuri saldo dana
John Sierra,5,2024-09-09 03:36:14,Mantap Bukalapak
Fatih,1,2024-09-08 15:43:39,Penipu ulung
Ponsel Servis (HP Laptop/Comp.CCTV),5,2024-09-08 15:28:06,"Mempermudah dan mbuat bisnis saya lancar menggunakan platform ini, semoga kenyamanan traansaksi lebih di prioritaskan"
San Toso,1,2024-09-08 14:23:45,Ndelogok masak dwt sya GK bs dipulangin
Totok Stallone,5,2024-09-08 12:20:04,Ok
Angelina Lee SH,1,2024-09-08 12:06:19,Guys jangan mau ngasih uang 💰 ya ke pengamen apapun itu di pom bensin di angkot dimana saja mau pengamen anak anak kek remaja kek dewasa kek Badut kek pocongan kek manusia silver kek biar mikir cari uang susah
Aviet Mulyadie,1,2024-09-08 11:51:17,Versi terbaru 5.44 search engine ga fungsi
Akunter Hubung,1,2024-09-08 10:06:26,"Buka lapak penipuan saya ngisi pulsa 20.000 ribu dah 1 hari gak msuk2 pdahal no dah sama, tolong ganti rugi😡😡😡😡😡😡😡😡"
Putra Mayfarlando Ardiyanto,5,2024-09-08 07:07:41,BAGUS
Sabdo Junior,5,2024-09-08 05:59:39,Ok. Apl mempermudah untuk belanja keinginannya
Endank Estorina,1,2024-09-08 04:50:31,Pengguna baru mahal2
Soedan Puspen Kanit,5,2024-09-08 04:01:19,Good jobs
HD HT,1,2024-09-07 15:01:59,Penjual banyak yg tutup..
Dede Supriyadi,5,2024-09-07 14:24:52,Manntaaaaapppppp
Alfredo Official TV,1,2024-09-07 11:47:31,Aplikasi sampah
Reni Anggraini,2,2024-09-07 10:06:29,Kenpa tidak bisa login bukalapak udah di hapus dinstal lagi tetep ga bisa udah 3 bulanan .. Padahalbayar paylater juga lancar .
Yadih Wiliyanto,5,2024-09-07 07:50:12,Bantu bener
rita rustiyanti,1,2024-09-07 06:15:24,"Pencairan dana penjualan sy kok blm masuk"" rekening ya sudah 2x24 jam ..komplain k pusat bantuan jg semua blm bisa padahal disitu untuk pencairan dana maksimal nya 1x24 jam"
Ebidemic,5,2024-09-07 03:17:40,"Padahal pembayaran lancar tapi mau pake paylater lgi GK bisa aneh ,sengaja kasih bintang 5 supaya di notice"
Dede Sambas,1,2024-09-06 18:27:20,"2 tahun lebih uang saya d pendem sama bukalapak,dengan alasan di bekukan,satu2nya aplikasi yang sangat merugikan...👎👎👎👎👎👎makanya saya ga pernah update aplikasi yang satu ini,percuma buang2 quota...aplikasi jual beli online paling ribet bintang 1 juga ga pantas"
Mamah Chenel,5,2024-09-06 15:39:50,⭐⭐⭐⭐⭐
ElaAngita Angita,1,2024-09-06 15:04:16,Versi terbaru tp payleter tidak bisa di pakai
Isto Rina,1,2024-09-06 14:42:26,Paylater aktif tapi tidak bisa di pakai padahal tidak punya tagihan... Jadi kasih rating 1 aja asalnya saya kasih rating 5
Han louis,1,2024-09-06 13:00:11,"paylater tiba2 gk bisa di pakai, udah dr rahun kemarin gk bisa di pakai. mau bangkrutkah bukalapak??"
Baim Braja,5,2024-09-06 12:51:52,Barang dah terima dengan lengkap baik... terimakasih buka lapak....knapa tdk bisa pay laters....?
Gin gin Yudiantoo,5,2024-09-06 12:29:37,Bukalapak keren....
Ahmad Dardiri,5,2024-09-06 07:21:29,Cocok
Ricky Bull,4,2024-09-06 06:18:34,Bagus
Naans Vlog,5,2024-09-06 04:54:26,Sangat muda untuk mencari produk dan gampang untuk di lihat dan pembayaran yang sangat simpen....
Satria Madhe,5,2024-09-06 03:55:38,good
syahrul khoir,5,2024-09-06 01:02:53,Sangat membantu di apk lain susah di sini mudah...
Lukman Harijanto (Harijanto),4,2024-09-06 01:01:21,"Bukalapak harus lebih baik lagi dalam pelayanan, khususnya soal keluhan konsumen lebih responsif. Semoga Bukalapak makin maju dan sukses."
Bambang prasmoro,2,2024-09-06 00:48:21,Susah untuk komplain masalah pembelian yg bermasalah
Akha Pratama,1,2024-09-06 00:46:40,"bukalapak miskin banget, penguna baru gk adapet discon atau potongan harga, promo2 nya juga miskin gk kaya toko ijo biru dan oren"
MANTAP JIWA,5,2024-09-06 00:37:41,Ok
Mantan Channel,5,2024-09-05 15:35:44,Ok
pri yaw tze,2,2024-09-05 11:24:35,Tidak ada layanan konsumen / call center by phone sehingga sulit berkomunikasi pada saat terjadi masalah
rustam efendi,5,2024-09-05 09:36:55,Aplikasi bagus gk ribet
idris,5,2024-09-05 04:00:36,tank u good job
Hasanul Somat,1,2024-09-05 00:04:46,"paylater d bekukan, auto unistal👎👎👎"
Produk Digital,1,2024-09-04 19:17:11,"Dulu suka aplikasi ini karena costumer care fast respon , tapi sekarang cs acuh tak acuh dan beberapa di jawab oleh robot, aplikasi sementara saya uninstall"
Anwar4G,3,2024-09-04 18:17:18,"Mohon di update lagi perihal algoritma kata kunci, jadi biar ga toko yang berbintang terus yang muncul di atas, kita toko2 yang baru2 biar bisa ke acak tampil di atas"
Fadel Muhamad (Fadel),1,2024-09-04 16:08:28,"RIBET PASANG FOTO PROFIL AJA HARUS ADA MINIMAL UKURAN FOTO mbNYA, MANA SUSAH NYARINYA HARUS DIKECILIN, TAII"
Herzanto “R-jan Yopan”,5,2024-09-04 11:25:48,Pokoke oke 👍🏼
Iam ica,1,2024-09-04 07:47:43,respn cs susah
Yudi Yunaka,5,2024-09-04 05:49:33,Semakin lengkap..tinggal promo murahnya dibanyakin biar gk kalah sama tetangga..mantap
"Qohhar M, Abd",5,2024-09-03 16:28:50,"Selamat tinggal Bukalapak, terimakasih sudah menemaniku selama ini 😭"
Rofi'ud Jabbar,1,2024-09-03 06:19:49,Kenapa Akun Saya Tidak Aktif . Padahal Saya Baru Buat 1 hari yang kalau . kenapa Saya Gak Bisa Login Ulang
sultan ghudzamir,5,2024-09-03 04:00:39,Mantap
Muhammad Aidil,5,2024-09-03 01:46:36,Luar biasa!!!
Irfan Alawi,3,2024-09-03 00:24:55,"Kenapa keterangannya tidak ada biyaya admin,pas mau bayar ada biyaya admin 2.500 perbaiki sistem pembayarannya"
Hamster I,1,2024-09-03 00:23:45,Apk terlalu banyk iklan ga bermutu...sriap ngajuin paylater gagal terus
Aji Pamungkas,1,2024-09-02 16:13:42,"Maf bintang 1,untuk daftar sangan susah sekali."
ade moron,3,2024-09-02 14:56:44,Bukalapak paylater kok hilang
Boby Prasetio,1,2024-09-02 11:07:51,Akun tiba2 non aktif stelah saldo dana saya d sedot 1 juta gimna tanggung jawab buka lapak
Eutik Suhaya,5,2024-09-02 10:34:30,Baik baik aja selama sy belanja di bukalapak
Satrio satrio,5,2024-09-02 10:04:59,Mantap
Mr Lixian,5,2024-09-02 09:17:09,Di update kenapa susah sekali yaa
ardi putra,1,2024-09-02 08:40:49,"woyy aplikasi , lu ngambil2 duit di saldo dana gw emng gw transaksi apa di aplikasi loo haaa... duit buat makan lu main ambil aja .cari duit buat orang rantau itu setengah mati"
Berkah Junior,1,2024-09-02 08:10:28,Fitur buat chat cuatomer service tdk ada no wa yg tertera di apk bukalapk tdk aktif mau pengaduan juga bingung sangt sebal
30_muhammad teven PTIK C,5,2024-09-02 05:51:55,bagu tapi susah kalo mau masuk kan ke keranjang
Hari Marhaen,5,2024-09-02 05:01:52,"Sangat membantu saya paling murah di antara yg lain,"
andi raharjo,5,2024-09-02 04:53:10,barang sesuai antara yg dipajang dan diterima .. matur suwun bukalapak ..
syarbunis_ MS,1,2024-09-02 03:12:22,"Aplikasi gajelas, ribet, sangat sulit untuk mengubah nmr hp saja bukannya langsung terubah malah diarahkan ke halaman lain disuruh kita untuk membaca cara²nya mengubah nmr hp, kocakk knpa gak sekali klil langsung bisa diubah coba?? 🤣 ribet bngt imi aplikasi sumpah mau ubah nmr hp doang ribetnya minta ampun🤣🤣 bukannya sekali klik langsung terubah ini malah mngarahkan ke pengaturan yg dimana kita disuruh membaca cara caranya merubah nmr hp. Ribet"
Murray Sky,5,2024-09-02 02:18:50,Mantul pokok nya
Wandi Juandi,3,2024-09-02 01:46:04,Sangat membantu dan mempermudah
Ukki Roials,1,2024-09-01 14:56:03,"Kabupaten/Kota tidak Valid, Padahal sudah Sesuai titik Koordinat."
Suheni Heni,5,2024-09-01 13:34:37,Sangat baik
ffia Fia,2,2024-09-01 13:28:29,Kata nya gratis ongkir pembeli pertama -_
Narko nrk.,5,2024-09-01 09:46:42,"Toko online yang sangat profesional... Aman, ramah dan respon sangat cepat.. Semua kebutuhan ada disini... Kemasan paket rapi dan sangat aman.."
Wawan Sugianto,4,2024-09-01 09:24:06,LupaBapak👎👎👎
Ari jeber,5,2024-09-01 08:26:25,mantap
Garuda Medi,1,2024-09-01 06:13:18,Jika tidak bisa meminjam maka akan saya hapus apk ini
King View,5,2024-09-01 05:49:44,Good
Agus Komarudin,5,2024-09-01 05:09:25,Sangat membantu sekali
Nanang Suhendar,1,2024-08-31 21:58:17,Sangat membantu dulu tapi sekarang udah enggak semenjak paylater tidak bisa digunakan
anonymouse inc,1,2024-08-31 17:32:17,"Pantesan Bukalapak kalah sama toko orange, orang penjual banyak yg di bekukan tokonya,, Akun dana tidak bisa dirubah, Mau mengajukan pembukaan pembekuan gak bisa,, padahal kesalahan gak fatal Beda sama toko Oren, ada kesalahan mudah di bangkitkan tokonya, asal dengan ketentuan tidak mengulangi lagi kesalahan yg tidak fatal. Gak lama lagi juga ni makin menyusut pengguna nya.."
toyota innova,5,2024-08-31 14:46:32,Terimakasih
Aditya Cahyo,5,2024-08-31 14:45:58,Tingkatkan promo nya...
hediawan chexs,5,2024-08-31 11:13:06,Membantu
Joni Susanto,5,2024-08-31 10:05:13,Sangat bagus
Fatkhur Rohman,5,2024-08-31 07:50:19,"aplikasi telah berhenti terus, makin barah nihh"
"Edi Sugianto, C.Ht., MNLP",5,2024-08-31 05:48:47,"Good, Fitùr minta ulasannya itu matikan dong. Kita sudah ngasih ulasan. Tapi tiap buka aplikasi, selalu muncul pop up minta ulasan. Itu sangat mengganggu kenyamanan konsumen bos.."
Imam Supriyatna,5,2024-08-31 03:53:06,Saya belum bisa belanja nyicil
Nyoman Juda,5,2024-08-30 15:45:28,"Bermanfaat sekali, mantaf 👍"
Milane Rahman,5,2024-08-30 12:43:10,"Mantap dahhh,mudah mudahan menggunakan aplikasi Bukalapak di mengecewakan"
Rudin,1,2024-08-30 11:06:11,Tolong ditingkatkan Fitur Live Chat nya. Dan Kalo bisa Dimudahkan Atas Apapun Keluhan nya. Saya Ingin Mengganti Akun Gmail Ajah. Susah Banget. Suruh Pake Nomor Baru segala. Padahal saya Tidak ingin Ganti Nomor Baru. Saya ingin Ganti Akun Gmail Sajah Yang Terkait di Bukalapak.
fikry albirra,5,2024-08-30 10:23:32,Membantu🙏
Baja Jay,1,2024-08-30 07:01:23,Sangat buruk
Reviyana Win,5,2024-08-30 06:31:35,Barang Yang DiJual Memuaskan
Kasidin Andika,1,2024-08-30 05:00:44,Kenapa saldo dana saya terus di ambil padahal saya tidak pesan apa apa dan tidak memiliki tagihan
Mang Ruday,5,2024-08-30 04:18:50,Makasih bukalapak
Jumadi Nuraini,1,2024-08-30 03:12:11,Pembatalan cicil emas saldonya GK masuk gmn ini buka lapak tempat pengaduan juga tidak ada katanya tunggu 3 hari dana pembatalan cicil emas masuk tapi tidak masuk2 gmn ini buka lapak tangung jawab nya
miZunited bahard,5,2024-08-30 01:53:18,makasih bukalapak seneng ada nya apl ini lebih mudah melakukan transaksi apa saja.. maju terus bukalapak....
Bagusaryo,5,2024-08-29 11:50:02,Good
srijono sentulcity,5,2024-08-29 11:43:19,Top
Rodan Tahmid,5,2024-08-29 11:37:26,pengiriman tepat waktu... mantap (Bukalapak)
Josh Bernard,1,2024-08-29 11:11:48,"Gak laku say sekarang toko anda, kita team Lazada, satu2nya toko online dengan retur tercepat dan gak pake ribet, banyak potongan harga lagih, byeeeee"
Muhammad Hadi,5,2024-08-29 10:43:59,Oke
RIZAL ROHMAN,1,2024-08-29 10:41:23,"Aplikasi gak jelas, AKUN TIBA"" DIBLOKIR DAN SALDO GAK BISA DI CAIRKAN."
Hengkibule84,5,2024-08-29 10:40:55,Selalu jadi yg Terbaik
Pramajaya M W,5,2024-08-29 10:27:40,Still excelent
iwa Hertiwa,5,2024-08-29 10:12:50,Ok n ok..Bravo Bukalapak
Pengguna Google,1,2024-08-29 09:59:07,Pertama x belanja online dr aplikasi ini padahal menu nya makin lama makin berkurang. Tiket kereta gk ada bus gk ada. Skr paylater di bayar terus SM limit full LG mlhan GK bsa di pakai .. ya udh dech kita uninstall aja. Selamat tinggal bukalapak.
Davidgunawanblitar,5,2024-08-29 09:15:42,Good job man
Iskandar Salam Palilu,4,2024-08-29 07:51:30,Klu saat ini bukalah beda dengan yg dulu
purwandi giri,5,2024-08-29 07:42:17,Sejauh ini puas.makasih buka lapak
Muhamad Rizky Topansyah,4,2024-08-29 06:40:31,"bagus, cuman ga pernah dpet voucher diskon beda dg app sebelah banayk voucher gratis ongkir, diskon, dll."
saha nya,3,2024-08-29 06:32:21,"Biasanya pengguna baru di aplikasi sebelah ada diskon gratis ongkir pengguna pertama kali,kenapa di sini gak ada!!!"
Muhammad Rinzda Failasuf alaika,1,2024-08-29 05:59:11,susah sekali untuk mengganti nomer hp
Yusuf Haslan,5,2024-08-29 05:32:30,Mantap
Suryanto Hariadi,5,2024-08-29 04:55:16,Cepat tiba dialamat & aman.
Varo Putra Ramadan,5,2024-08-29 02:42:55,Bagus cepat mantap👍
Almira Nur Fitri,5,2024-08-29 02:00:35,Mantap
Anton Anton,2,2024-08-28 16:07:04,sekedar masukan.. menurut saya event serbu seru di stop ajah.. mending buat potongang belanja dan potongan ongkir.. atau promo lainnya.. intinya walaupun potongan kecil tapi merata ke semua pengguna.. dan perputaran jual beli terjadi.. kalau kaya gini terus ya gk asik.. sedangkan.. si biru si oren si ijo vocher bisa di tumpuk bersamaan.. kalau di sini apa..? mesti milih salah satu dan juga vocher ongkir ajah minbelnya mahal..
Adit Ya,1,2024-08-28 15:21:06,Apk jelek
java film studio,2,2024-08-28 15:11:15,"Paylater saya ga bisa di gunakan parah padahal aktif,payah payah"
IRA IRAWAN,1,2024-08-28 14:24:18,Bukalapak maling semua anjink saldo gw ilang dibukalapak padahal kaga pernah transaksi tiba tiba saldo ilang anjink bukalapak maling semua
Fandi Riswanto,1,2024-08-28 13:16:02,"Hahahaha,,ini aplikasi makin gak beres d komplain karena akun saya d hack malah aku saya d blokir"
Aqilla Alya Syifa,5,2024-08-28 10:59:38,mantap
Athori Uye,5,2024-08-28 07:24:17,Keren Bukalapak... Saran beri Livestream agar pembeli bisa dibuat pertimbangan
Resi Sri,1,2024-08-28 06:50:40,Hampir kena penipuan. Nomor saya dipakai orang giliran mau dihapus akunnya malah saya yg harus keluar uang
Jorna Bae,1,2024-08-28 06:40:59,"Makin TOLOL aja nih aplikasi, orang di paksa pake asuransi, klo mau bangkrut ya bangkrut aja, gak usah ngambil untung dari asuransi,, HARAM tau gak lo !!!"
Jeje Junaidi,5,2024-08-28 06:10:19,pemakaian bukalapak dlm bbrpa tahun ini ckup memuaskan hampir tdk ad kendala sukses selalu buat bukalapak
Ariis Cell2,2,2024-08-27 18:48:29,Knpa skrg asuransi di wajibkan harusnya kasih pilihan
abie satria,5,2024-08-27 13:25:42,"mohon maaf apk saya uninstal dulu karena ga ada kejelasan paylaternya, dan mohon pula karena saya belum sempat belanja"
Mukri Nuriyadi,5,2024-08-27 10:22:47,Trimakasih bukalapak . Saya peserta prakerja yang membeli pelatihan dari aplikasi bukalapak. Mohon untuk segera di bantu kelancaran laporan sertifikat ke dashboard prakerja.. Semoga bukalapak semakin jaya dan sukses.. Karna bukalapak sangat bermanfaat dan mudah mendapatkan apa saja dengan mudah...
Nur Run,1,2024-08-27 10:09:26,"Awalnya bagus tapi lama lama jadi menyulitkan, coba telaah sendiri ya Bukalapak"
Ngaji Bareng,1,2024-08-27 09:36:52,Utk penggantian no hp yg sudah tidak aktif sangat lambat dan sangat ribet auto uninstall
rendra anjasmara,5,2024-08-27 08:46:41,Keren
Arif Lubis,3,2024-08-27 07:59:53,Transaksi berhasil tapi paket data sama pulsa ga masuk
Athu Wiragun,5,2024-08-27 07:29:55,Beli barang dari Bukalapak cukup bagus
Ekko Koko,5,2024-08-27 01:55:24,Lumayan cpt....
Vanya Aurellia,1,2024-08-26 19:52:57,Gak sebagus Shopee dan Tokopedia.
Family_Villa Batu,5,2024-08-26 16:27:02,Very nice for online shooping
fino fentura,5,2024-08-26 14:50:28,"Sdh sangat bagus, namun knp paylater saya aktif tetapi di metode pembayaran tidak muncul??"
linda Wati,5,2024-08-26 14:27:48,Sangat bagus dan juga sangat bermanfaat..
HEADBANGER 666,1,2024-08-26 12:42:10,Ini gimana saldo saya hilang 250.000 ada tagihan pembayaran tidak jelas.. saya minta saldo saya di kembalikan utuh
Ahmad Faisal,1,2024-08-26 12:21:31,Kenapa saya tidak bisa mengganti nama!!!
Muhammad Faris,3,2024-08-26 12:15:50,Tolong di perbaiki lagi Bukalapak saya mohon sekali
Ganda Putra,1,2024-08-26 11:04:00,"CACAT GAK JELAS LELET LAMBAT sudah pelaporan kasus sesuai prosedur semua dilakukan ! Info nya akan mengembalikkan dana SLA 14 hari ,tapi sampai hari ini nggak ada kabar ! Hanya suruh menunggu dan cek mutasi, gajelas!!! 🤬 apa harus di viralkan dlu smpai benar² viral baru di tangani ?! TOLONG DONG ITU REPLY EMAILNYAA SAMPAI MANA PROSES NYA. KALAU SURUH NUNGGU UDAH HAMPIR 2 BULAN NIHH NUNGGU NYA MELEBIHI SLA YANG DI JANJIKAN"
Miyadi,1,2024-08-26 11:01:18,Jelek CS gk respon saldo bank terpotong tpi dana gk masuk..asli jelek amat ini aplikasi
Fajar S Marsinggih,1,2024-08-26 10:36:37,"Barang di cancel pelapak tapi dana tak kunjung balik.. Dah beberapa kali komplain via live chat jawabannya: cs pada sibuk semua.. Akhirnya Uninstall aja pake toko ijo, orange, biru lebih nyaman"
sembiring pandia,1,2024-08-26 10:07:22,Hapus aja aplikasi lu ini tololll Pemberitahuan lu kaya sampah Gada gunanya Aplikasi udah berfungsi masih d pake
Abdul Aziz Asry,5,2024-08-26 05:42:04,Aplikasi Paling Mantabz
Pengguna Google,5,2024-08-26 05:25:12,"Dari pertama ada bukalapak, selalu blanja di Bukalapak, harga miring barang ORI, pelapaknya jujur gak sprti di sebelah kecuali jika saya salah order, meskipun banyak platfom blanja online baru, tapi gak pernah tertatarik, selalu puas APALAGI BUKALAPAK PLATFORM ANAK NEGERI, Bukalapak dan pelapak juga kurir smoga makin jaya produk Indonesia👍👍👍👍 Cuma SEKARANG BANYAK yg GAK JUJUR, PENGEMBALIAN BARANG RIBET TERUTAMA PAS MAU KLIK BUKASEND, LALU KONTAK OPERATOR/ADMIN BL GAK ADA YG NYAMBUNG."
muzaini aini keseharianku,5,2024-08-26 02:52:40,Sesuai brng nya
Trisna Sari,5,2024-08-25 19:22:06,Mitra bukalapak nya oke banget
NUR S 1993,5,2024-08-25 12:30:56,Driver
Panji Mulyana,5,2024-08-25 11:55:13,oke
Humaira Arifah,2,2024-08-25 10:30:05,"Gak pesen apa"" Tau saldo sudah di ambil ajh,"
Tu Siwan,5,2024-08-25 02:27:13,Mantap
yon siswanto234,5,2024-08-25 02:27:01,Sipppo
iwan setiawan,5,2024-08-25 00:15:27,Mantap
Ahmad M,4,2024-08-24 23:39:53,Siip
Iqmal avvandi,2,2024-08-24 20:35:12,Sekarang Bukalapak makin kagak jelas.. sistem nya hancur.. jangan kan peningkatan malah.. makin hancur.
Erlangga Riksan,1,2024-08-24 19:12:23,bego tolol
Serasi Official Store,5,2024-08-24 17:50:29,Versi sebelumnya sangat berat. Versi terbaru saat ini 5.44.0 .cukup ringan di hp saya jadul ram 2gb. Dan paling ringan diantara online shop yg ada di indonesia Goodjob
pande sanjaya,5,2024-08-24 16:25:04,Bukalapak aplikasi toko online terpercaya ❤️
The good. Zrt,5,2024-08-24 09:41:38,"Biasanya klau belanja ku pakai buka lapak suamiku, ini ku mau buka akun sendiri"
Samsudin,5,2024-08-24 08:33:54,Oke
Sugeng Harianto,5,2024-08-24 06:46:03,jos gandos
Adis Syahputra,1,2024-08-24 03:47:38,Banyak yang mencuri saldo mengatas namakan bukalapak..pihak bukalapak tidak bertanggung jawab contohnya saya saldodana saya ketarik 251 000 tanpa transaksi apapun dan anehnya secara otomatis saldo dana di ambil
fatimah zahra,1,2024-08-24 03:32:36,Jgn mau ikut serbu seru penipuan
Agus Salam,1,2024-08-23 18:47:24,Tolong data atas nama agus salam di hapus ya kak... Di karnakan pinjaman ditolak.. trimakasih
Alkhalifi Zikrihamizan,1,2024-08-23 18:24:50,buka lapak ni parah saldo dana saya ludes di ambil smua..pdhal saya ga ngambil apa apa apk nya pun saya ga punya.malah lngsung trhubung sama akun dana ludes di ambil otomatis
heni nurdiati,5,2024-08-23 17:31:45,Good
CAHAYA KOESIDA,5,2024-08-23 16:28:03,Ok memnantu
Putra Gifari Faldy T,5,2024-08-23 14:34:06,Mantap
Supian,1,2024-08-23 14:13:50,Pengiriman paket terlalu lama nga kaya d soppe Ama d Lazada paling lambat 3 hari d Bukalapak 6 hari baru nyampe klw bisa tolong d tingkatkan kembali pengiriman nya ..
Asmorohadi Hadi,5,2024-08-23 14:01:02,Aplikasi yg sangat saya rekomendasikan untuk belanja online
F R “Kamerun” Htsoit,5,2024-08-23 11:16:16,Buka lapak memang save
mahardika channel,5,2024-08-23 09:56:21,Bagus sekali kak
ichwansyah ichwansyah,5,2024-08-23 09:35:58,"Terimakasih bukalapak, alhamdulilillah tidak mengecewakan, dgn lion parsel sangat cepat sampainya."
H. Herdiana,5,2024-08-23 09:24:55,Semakin mantap.
MOH. SULTHON,5,2024-08-23 09:12:53,Ok
Ferry Nur Julian,5,2024-08-23 08:03:28,Aplikasi bagus
izki maffela,2,2024-08-23 07:14:23,Paylater ko hilang yah
Umi Sa'diyah,1,2024-08-23 03:55:42,Saya sangat kecewa sekali utk masalah pencairan DANA dari akun sy yg di sabotase pencuri sdh mau 3 bln tp msh menunggu trs blm ada kejelasan sampe kpnnnn ....
ekoOne Agent Property,5,2024-08-22 16:16:38,Aman dan terpercaya
Bergerak Berontak,5,2024-08-22 10:42:43,Barang nya bagus bagus gw suka...
Warsito Abdullah,5,2024-08-21 19:30:08,Tingkatkan terus pelayanan buat pengguna dan maju terus buat Buka Lapak semakin di depan
Aceng apud,1,2024-08-21 18:44:53,Aplikasi apaan kaya gini saldo dana gua ke sedot sendiri ga jelas banget..tolong dong..gimana caranya supaya saldo dana gua kembali dlgo
Hemat Cuan,1,2024-08-21 16:02:55,"Proses formulir daftar sebagai penjual terlalu banyak data yang di isi sangat beresiko,sudah isi data formulir keterangan proses paling lama 5 hari sudah 10 hari lebih masi belum keterangan yang sama. tidak sama dengan marketplace lain tidak sampai 30 menit sudah bisa digunakan."
Herwin Gunawan,1,2024-08-21 14:41:10,Bukabantuan jelek pelayanan
Azev Drs,5,2024-08-21 13:49:45,mantappppp
SARFARAZ MUNIR,5,2024-08-21 13:02:37,"Gk lola, cepet bgt, tgl perbanyak bonus vocer 😁"
dang kom,5,2024-08-21 12:26:53,mantap
Alfalendra Hilal,5,2024-08-21 11:49:59,Sllu terbaik dri dulu
Bambang Jo,5,2024-08-21 10:27:07,Da best 🔥🔥🔥
Mukhammad Ainul Yaqin,1,2024-08-21 06:27:39,Cie cie cie jualannya yang laku koin judi ni yeeeeeer
